"EVT","sourceID","studyPoint","fuelType","data.val"
201,617,25164,"X10KhrS_loading_Mgha",152.0736
201,606,32165,"X1KhrS_loading_Mgha",73.92
201,635,26507,"cwd_loading_Mgha",723.9231836
201,635,26507,"cwd_rotten_loading_Mgha",723.9231836
201,621,29356,"cwd_sound_loading_Mgha",518.0448
201,595,9521,"duff_depth_",23.88192667
201,595,9521,"duff_loading_Mgha",252.73472
201,612,24586,"GT10KhrR_loading_Mgha",275.3856
201,621,29356,"GT10KhrS_loading_Mgha",489.776
201,594,9368,"herb_loading_Mgha",1.944544
201,595,9521,"litter_depth_",11.76274
201,595,9521,"litter_loading_Mgha",51.8672
202,623,25518,"X10hr_loading_Mgha",11.7824
202,614,28766,"cwd_loading_Mgha",270.1664
202,614,28766,"cwd_sound_loading_Mgha",270.1664
202,595,9535,"duff_depth_",13.67112667
202,595,9535,"duff_loading_Mgha",144.67712
202,595,9535,"litter_depth_",6.73354
202,595,9535,"litter_loading_Mgha",29.6912
203,627,27617,"X10hr_loading_Mgha",26.89494147
203,612,24654,"X1KhrS_loading_Mgha",68.4992
203,627,27617,"cwd_loading_Mgha",1034.459228
203,627,27617,"cwd_sound_loading_Mgha",1034.459228
204,606,32250,"X10KhrR_loading_Mgha",108.2368
601,632,30448,"cwd_loading_Mgha",212.8627197
601,632,30448,"cwd_rotten_loading_Mgha",207.8832007
602,677,47875,"X100hr_loading_Mgha",22.87
602,677,47876,"X1hr_loading_Mgha",2.24
602,606,31699,"X1KhrR_loading_Mgha",17.248
602,624,29721,"cwd_loading_Mgha",142.576
602,600,33362,"cwd_rotten_loading_Mgha",103.1519983
602,624,29721,"cwd_sound_loading_Mgha",142.576
602,597,11729,"duff_loading_Mgha",101.8377077
602,628,33633,"herb_loading_Mgha",11.2578897
602,597,23291,"shrub_loading_Mgha",9.293946122
603,680,48025,"X10hr_loading_Mgha",24.6587
603,680,48025,"X1hr_loading_Mgha",23.53785
603,700,48384,"X1KhrR_loading_Mgha",48.689724
603,700,48381,"X1KhrS_loading_Mgha",168.844844
603,628,33550,"cwd_loading_Mgha",202.6020403
603,628,33550,"cwd_sound_loading_Mgha",131.0544194
603,597,22868,"snag_loading_Mgha",79.66153884
604,586,9895,"X100hr_loading_Mgha",211.1424
604,586,9895,"X10hr_loading_Mgha",36.5792
604,713,47962,"X1hr_loading_Mgha",18
604,627,27645,"fwd_loading_Mgha",20.03308104
604,61,337,"herb_loading_Mgha",5.6672
607,611,28706,"X10hr_loading_Mgha",8.176
607,627,27633,"X1hr_loading_Mgha",2.440635864
607,91,786,"duff_depth_",5.588
607,746,48902,"duff_loading_Mgha",43.719
607,627,27639,"fwd_loading_Mgha",10.29270468
610,597,11002,"X100hr_loading_Mgha",55.6187867
610,619,26844,"X10hr_loading_Mgha",15.8592
610,604,27150,"X1hr_loading_Mgha",3.8304
610,604,27114,"X1KhrR_loading_Mgha",20.048
610,597,11085,"cwd_loading_Mgha",121.2299894
610,597,18777,"duff_loading_Mgha",100.6665965
610,574,957,"herb_loading_Mgha",10.17744
610,597,18720,"litter_loading_Mgha",218.5201485
610,574,958,"shrub_loading_Mgha",13.05808
610,597,11046,"snag_loading_Mgha",132.7432511
612,612,24696,"X10KhrS_loading_Mgha",114.016
612,606,31853,"X1hr_loading_Mgha",3.248
612,605,39823,"X1KhrR_loading_Mgha",45.696
612,606,31789,"X1KhrS_loading_Mgha",62.2272
612,612,24696,"cwd_loading_Mgha",490.1792
612,612,24696,"cwd_sound_loading_Mgha",487.1104
612,606,31853,"fwd_loading_Mgha",44.0832
613,594,9317,"X10hr_loading_Mgha",9.9232
614,92,48171,"X100hr_loading_Mgha",173.73175
614,586,9841,"X10hr_loading_Mgha",48.8544
614,92,48171,"X1hr_loading_Mgha",14.57105
614,91,725,"X1Khr_loading_Mgha",724.416
614,606,32202,"X1KhrR_loading_Mgha",28.5376
614,606,32077,"X1KhrS_loading_Mgha",65.1616
614,634,26249,"cwd_loading_Mgha",573.72
614,632,30475,"cwd_rotten_loading_Mgha",176.9017578
614,634,26249,"cwd_sound_loading_Mgha",465.2838477
614,91,725,"duff_depth_",16.002
614,624,29706,"GT10KhrS_loading_Mgha",335.216
614,61,340,"herb_loading_Mgha",4.7712
614,677,47881,"litter_depth_",15.24
614,597,18732,"litter_loading_Mgha",81.22635118
614,597,18819,"snag_loading_Mgha",353.0030793
614,597,18812,"tree_loading_Mgha",1037.245756
615,597,18955,"X100hr_loading_Mgha",130.3800447
615,92,48159,"X10hr_loading_Mgha",41.69562
615,27,183,"X10Khr_loading_Mgha",400.2432
615,613,24093,"X10KhrR_loading_Mgha",112.0896
615,623,25589,"X10KhrS_loading_Mgha",163.8112
615,92,48139,"X1hr_loading_Mgha",12.55352
615,699,48347,"X1Khr_loading_Mgha",5382.3217
615,612,24412,"X1KhrS_loading_Mgha",76.9888
615,635,26546,"cwd_loading_Mgha",1605.923184
615,633,25975,"cwd_rotten_loading_Mgha",1076.349121
615,635,26546,"cwd_sound_loading_Mgha",815.0687891
615,583,1378,"duff_loading_Mgha",216.832
615,624,29744,"GT10KhrS_loading_Mgha",494.256
615,597,18813,"litter_loading_Mgha",84.64575594
615,597,18739,"snag_loading_Mgha",530.3824527
617,586,9831,"X10hr_loading_Mgha",14.6048
617,586,9826,"X1hr_loading_Mgha",2.464
617,635,26382,"cwd_loading_Mgha",119.4816003
617,635,26382,"cwd_rotten_loading_Mgha",119.4816003
617,586,9826,"duff_loading_Mgha",36.8928
617,60,328,"herb_loading_Mgha",18.256
618,610,28111,"X10hr_loading_Mgha",9.7216
618,17,130,"herb_loading_Mgha",4.816
618,702,48421,"litter_loading_Mgha",15.5
620,597,20446,"X100hr_loading_Mgha",14.73181891
620,611,28642,"X10hr_loading_Mgha",5.712
620,597,11326,"X1hr_loading_Mgha",2.131382333
620,610,28253,"cwd_loading_Mgha",34.3392
620,597,11026,"duff_loading_Mgha",45.01283636
620,597,18714,"litter_loading_Mgha",54.51462473
620,597,11519,"shrub_loading_Mgha",7.666181555
620,597,20162,"snag_loading_Mgha",14.99362021
620,597,11567,"tree_loading_Mgha",105.2051519
621,4,21,"duff_loading_Mgha",159.936
622,700,48362,"X100hr_loading_Mgha",58.149698
622,625,30260,"X10hr_loading_Mgha",21.8176
622,606,31994,"X10KhrR_loading_Mgha",106.064
622,610,27824,"X10KhrS_loading_Mgha",102.7936
622,9,361,"X1hr_loading_Mgha",3.0912
622,700,48393,"X1KhrR_loading_Mgha",75.590124
622,700,48362,"X1KhrS_loading_Mgha",109.013871
622,610,28040,"cwd_loading_Mgha",247.9008
622,632,30361,"cwd_rotten_loading_Mgha",171.0911938
622,610,28040,"cwd_sound_loading_Mgha",223.1712
622,2,11,"duff_depth_",73.152
622,605,39731,"fwd_loading_Mgha",40.544
622,629,27673,"herb_loading_Mgha",6.383488003
622,700,48367,"litter_depth_",8.382
622,597,18803,"litter_loading_Mgha",108.2558365
622,597,23534,"shrub_loading_Mgha",7.909996506
622,597,12359,"snag_loading_Mgha",129.2678888
623,628,33464,"X1hr_loading_Mgha",5.893178108
623,693,48212,"fwd_loading_Mgha",16
623,583,1357,"herb_loading_Mgha",0.89152
624,597,20118,"X100hr_loading_Mgha",47.6008721
624,597,21716,"X10hr_loading_Mgha",13.36885337
624,597,20419,"X1hr_loading_Mgha",0.596547235
624,597,22170,"cwd_loading_Mgha",23.07049006
624,597,21653,"duff_loading_Mgha",33.49957464
624,597,20638,"litter_loading_Mgha",33.73139869
624,597,20933,"shrub_loading_Mgha",8.939215354
624,597,21454,"snag_loading_Mgha",38.61069542
624,597,21666,"tree_loading_Mgha",180.5369768
625,624,29525,"X100hr_loading_Mgha",57.4112
625,586,9860,"X10hr_loading_Mgha",67.7824
625,606,31526,"X10KhrR_loading_Mgha",64.5568
625,623,25616,"X10KhrS_loading_Mgha",210.6496
625,606,32276,"X1hr_loading_Mgha",5.264
625,606,32201,"X1KhrR_loading_Mgha",52.528
625,606,31799,"X1KhrS_loading_Mgha",82.5888
625,610,27885,"cwd_loading_Mgha",818.6304
625,634,26228,"cwd_rotten_loading_Mgha",183.2656055
625,610,27885,"cwd_sound_loading_Mgha",818.6304
625,606,32196,"fwd_loading_Mgha",57.12
625,606,31901,"GT10KhrR_loading_Mgha",147.616
625,610,27885,"GT10KhrS_loading_Mgha",815.92
625,629,27685,"herb_loading_Mgha",3.639708072
625,597,18842,"litter_loading_Mgha",49.81219376
625,580,1288,"shrub_loading_Mgha",25.4688
625,597,12276,"snag_loading_Mgha",108.6505369
625,597,23427,"tree_loading_Mgha",793.6066719
626,597,11250,"X100hr_loading_Mgha",84.74268237
626,94,48280,"X10hr_loading_Mgha",21.52032
626,94,48280,"X10Khr_loading_Mgha",117.46508
626,624,29634,"X10KhrR_loading_Mgha",70.8288
626,8,72,"X1Khr_loading_Mgha",382.816
626,58,321,"X1KhrR_loading_Mgha",52.0352
626,752,48956,"X1KhrS_loading_Mgha",60
626,632,30464,"cwd_loading_Mgha",378.0089551
626,632,30464,"cwd_rotten_loading_Mgha",374.550415
626,619,26874,"cwd_sound_loading_Mgha",320.0288
626,636,41998,"litter_loading_Mgha",120.899
626,597,10939,"snag_loading_Mgha",311.2837432
627,618,29151,"X100hr_loading_Mgha",26.4992
627,623,25658,"X10hr_loading_Mgha",14.0448
627,91,723,"X1hr_loading_Mgha",2.688
627,610,28251,"X1KhrR_loading_Mgha",22.5568
627,2,10,"X1KhrS_loading_Mgha",45.696
