"EVT","sourceID","studyPoint","fuelType","data.val"
31,628,33646,"cwd_loading..Mg.ha",2.63619609733423
31,588,8018,"litter_depth..cm",1.62531126159039
31,588,8018,"litter_loading..Mg.ha",3.10906095886099
202,614,28766,"cwd_loading..Mg.ha",5.59905139049443
202,588,5559,"litter_depth..cm",2.03077636969855
202,588,5559,"litter_loading..Mg.ha",3.51452606696916
202,595,9535,"duff_depth..cm",2.61520365073586
202,595,9535,"duff_loading..Mg.ha",4.9745244070839
207,588,6440,"shrub_loading..Mg.ha",0.947789398933526
604,632,30311,"cwd_loading..Mg.ha",4.23033127142169
604,588,5530,"litter_depth..cm",2.03077636969855
604,588,5530,"litter_loading..Mg.ha",3.51452606696916
604,630,40389,"duff_depth..cm",2.89922137317315
604,630,40389,"duff_loading..Mg.ha",5.07617331556691
612,588,5177,"duff_depth..cm",1.51951320490611
612,588,5177,"duff_loading..Mg.ha",3.87908650518188
613,588,8469,"duff_depth..cm",1.86872051036418
614,634,26249,"cwd_loading..Mg.ha",6.35214147242601
615,699,48347,"X1Khr_loading..Mg.ha",8.59087478697009
617,635,26382,"cwd_loading..Mg.ha",4.78314899334791
617,588,5567,"litter_depth..cm",2.03077636969855
617,588,5567,"litter_loading..Mg.ha",3.51452606696916
617,588,7901,"duff_depth..cm",1.51951320490611
617,588,7901,"duff_loading..Mg.ha",3.87908650518188
625,588,7446,"shrub_loading..Mg.ha",4.07261007007609
646,630,40371,"litter_depth..cm",0.576613364303994
690,737,48801,"X1hr_loading..Mg.ha",2.30558060197384
695,88,673,"X1hr_loading..Mg.ha",2.84781214347737
702,585,1423,"shrub_loading..Mg.ha",2.53765721517353
702,610,28281,"cwd_loading..Mg.ha",4.5514529034821
