"EVT","sourceID","studyPoint","fuelType","data.val"
31,628,33646,"cwd_loading..Mg.ha",13.96
31,588,8018,"litter_depth..cm",5.08
31,588,8018,"litter_loading..Mg.ha",22.4
201,588,5044,"herb_loading..Mg.ha",6.79
201,606,32165,"X1KhrS_loading..Mg.ha",73.92
201,617,25164,"X10KhrS_loading..Mg.ha",152.07
201,621,29356,"GT10KhrS_loading..Mg.ha",489.78
201,612,24586,"GT10KhrR_loading..Mg.ha",275.39
201,621,29356,"cwd_sound_loading..Mg.ha",518.04
201,635,26507,"cwd_rotten_loading..Mg.ha",723.92
201,635,26507,"cwd_loading..Mg.ha",723.92
201,595,9521,"litter_depth..cm",11.76
201,595,9521,"litter_loading..Mg.ha",51.87
201,595,9521,"duff_depth..cm",23.88
201,595,9521,"duff_loading..Mg.ha",252.73
202,595,9535,"X1hr_loading..Mg.ha",1.99
202,623,25518,"X10hr_loading..Mg.ha",11.78
202,594,8693,"X100hr_loading..Mg.ha",24.01
202,630,41434,"fwd_loading..Mg.ha",17.85
202,614,28766,"cwd_sound_loading..Mg.ha",270.17
202,614,28766,"cwd_loading..Mg.ha",270.17
202,588,5559,"litter_depth..cm",7.62
202,588,5559,"litter_loading..Mg.ha",33.6
202,595,9535,"duff_depth..cm",13.67
202,595,9535,"duff_loading..Mg.ha",144.68
203,588,5005,"shrub_loading..Mg.ha",19.79
203,588,6505,"herb_loading..Mg.ha",17.86
203,630,33287,"X1hr_loading..Mg.ha",1.61
203,627,27617,"X10hr_loading..Mg.ha",26.89
203,612,24459,"X100hr_loading..Mg.ha",29.95
203,627,27617,"fwd_loading..Mg.ha",28.2
203,612,24654,"X1KhrS_loading..Mg.ha",68.5
203,627,27617,"cwd_sound_loading..Mg.ha",1034.46
203,627,27617,"cwd_loading..Mg.ha",1034.46
203,588,6133,"litter_depth..cm",7.62
203,588,6133,"litter_loading..Mg.ha",33.6
204,606,32250,"X10KhrR_loading..Mg.ha",108.24
205,605,39726,"fwd_loading..Mg.ha",29.77
206,630,33996,"herb_loading..Mg.ha",2.58
206,630,41927,"X1hr_loading..Mg.ha",0.92
206,611,28677,"X10hr_loading..Mg.ha",2.46
206,600,33430,"fwd_loading..Mg.ha",11.85
206,630,41639,"litter_depth..cm",0.81
206,600,33430,"litter_loading..Mg.ha",12.72
207,588,6440,"shrub_loading..Mg.ha",2.58
601,630,33984,"herb_loading..Mg.ha",1.39
601,632,30448,"cwd_rotten_loading..Mg.ha",207.88
601,632,30448,"cwd_loading..Mg.ha",212.86
602,597,23291,"shrub_loading..Mg.ha",9.29
602,628,33633,"herb_loading..Mg.ha",11.26
602,677,47876,"X1hr_loading..Mg.ha",2.24
602,677,47875,"X100hr_loading..Mg.ha",22.87
602,606,31699,"X1KhrR_loading..Mg.ha",17.25
602,624,29721,"cwd_sound_loading..Mg.ha",142.58
602,600,33362,"cwd_rotten_loading..Mg.ha",103.15
602,624,29721,"cwd_loading..Mg.ha",142.58
602,597,11729,"duff_loading..Mg.ha",101.84
603,597,22868,"snag_loading..Mg.ha",79.66
603,680,48025,"X1hr_loading..Mg.ha",23.54
603,680,48025,"X10hr_loading..Mg.ha",24.66
603,700,48381,"X1KhrS_loading..Mg.ha",168.84
603,700,48384,"X1KhrR_loading..Mg.ha",48.69
603,628,33550,"cwd_sound_loading..Mg.ha",131.05
603,628,33550,"cwd_loading..Mg.ha",202.6
604,588,7513,"shrub_loading..Mg.ha",77.42
604,713,47962,"X1hr_loading..Mg.ha",18
604,586,9895,"X10hr_loading..Mg.ha",36.58
604,586,9895,"X100hr_loading..Mg.ha",211.14
604,630,41966,"fwd_loading..Mg.ha",21.19
604,632,30311,"cwd_sound_loading..Mg.ha",68.74
604,610,27954,"cwd_rotten_loading..Mg.ha",17.05
604,632,30311,"cwd_loading..Mg.ha",68.74
604,588,5530,"litter_depth..cm",7.62
604,588,5530,"litter_loading..Mg.ha",33.6
604,630,40389,"duff_depth..cm",18.16
604,630,40389,"duff_loading..Mg.ha",160.16
607,585,1419,"herb_loading..Mg.ha",1.68
607,627,27633,"X1hr_loading..Mg.ha",2.44
607,630,27440,"fwd_loading..Mg.ha",21.12
607,610,27945,"X1KhrS_loading..Mg.ha",15.7
607,91,786,"duff_depth..cm",5.59
610,597,11046,"snag_loading..Mg.ha",132.74
610,574,958,"shrub_loading..Mg.ha",13.06
610,574,957,"herb_loading..Mg.ha",10.18
